Comentario;sentiment
A assistência para o problema com o e-mail foi bem ruim. A solução foi demorada e não resolveu tudo.;Negativo
A assistência para o problema com o e-mail foi bem ruim. A solução foi demorada e quase ñ foi resolvido.;Negativo
A assistência para o problema com o sistema de backup foi bem demorada. A solução não resolveu tudo e a comunicação foi fraca.;Negativo
A assistência para o problema com o sistema de backup foi bem demorada. A solução oferecida não resolveu tudo e a comunicação foi ruim.;Negativo
A assistência para o problema com o sistema de backup foi bem demorada. A solução oferecida não resolveu tudo.;Negativo
A assistência para o problema da impressora foi péssima. Não conseguiram resolver e eu fiquei sem conseguir imprimir.;Negativo
A assistência para o problema de autenticação foi bem demorada. A solução foi lenta e a comunicação não ajudou.;Negativo
A assistência para o problema de autenticação foi bem ruim. A solução foi lenta e não resolveu o problema completamente.;Negativo
A assistência para o problema de autenticação foi bem ruim. A solução foi lenta e não resolveu tudo.;Negativo
A assistência para o problema de backup foi bem lenta e a comunicação não foi das melhores.;Negativo
A assistência para o problema de impressão foi bem demorada e a comunicação não foi boa.;Negativo
A assistência para o problema de impressão foi bem ruim. A solução oferecida não resolveu nada e a equipe demorou para ajudar.;Negativo
A assistência para o problema de rede foi bem ruim. A solução oferecida não resolveu nada e eu continuei com problemas.;Negativo
A assistência para o sistema de backup foi insatisfatória. O suporte foi lento e a solução não resolveu completamente o problema.;Negativo
A assistência para o sistema de e-mail deixou a desejar. O suporte demorou para achar uma solução e a comunicação foi inadequada.;Negativo
A assistência para o sistema de e-mail foi insatisfatória. O suporte levou tempo para encontrar uma solução e a comunicação foi ineficaz.;Negativo
A assistência para os problemas de impressão deixou a desejar. O técnico teve problemas para solucionar a questão e a solução fornecida não foi totalmente eficaz.;Negativo
A assistência para problemas com a configuração de uma nova estação de trabalho foi insatisfatória. O suporte demorou e a solução final não resolveu o problema completamente.;Negativo
A assistência para problemas com a rede local foi insatisfatória. O suporte demorou para encontrar uma solução e a comunicação foi ruim.;Negativo
A assistência para problemas com o sistema de backup foi bem lenta. A comunicação foi ruim e a solução não resolveu tudo.;Negativo
A assistência para problemas com o sistema de backup foi insatisfatória. O suporte foi lento e a solução oferecida não resolveu a questão completamente.;Negativo
A assistência para problemas com o sistema de e-mail foi insatisfatória. O suporte demorou a encontrar uma solução e a comunicação foi ineficaz.;Negativo
A assistência para trocar meu acesso foi bem lenta. A comunicação foi péssima e eu fiquei esperando um tempão.;Negativo
A assistência técnica para a rede local não atendeu às expectativas, foi lenta e pouco clara.;Negativo
A assistência técnica para o celular poderia ter sido mais rápida.;Negativo
A assistência técnica para o sistema de backup foi ruim. O suporte demorou e a solução oferecida não resolveu a questão por completo.;Negativo
A assistência técnica para o sistema de e-mail foi insatisfatória. O suporte demorou para resolver o problema e a comunicação não foi eficaz.;Negativo
A atualização de hardware foi mal gerida e o novo equipamento teve problemas. Além disso, o suporte demorou para fornecer uma solução eficaz.;Negativo
A atualização de software foi mal gerida do começo ao fim. A equipe se mostrou incompetente e a falta de comunicação só piorou a situação.;Negativo
A atualização de software foi um completo fiasco. A equipe demorou demais e não soube informar absolutamente nada.;Negativo
A atualização do sistema causou problemas e agora várias funções não estão funcionando corretamente.;Negativo
A atualização do software demorou pra caramba e ninguém me avisou sobre o atraso.;Negativo
A atualização foi um desastre completo. A equipe demorou horrores e a falta de comunicação só trouxe mais problemas.;Negativo
A conexão da internet está horrível, cai a todo momento.;Negativo
A conexão de internet é instável e frequentemente cai.;Negativo
A conexão de internet está um caos, problemas e quedas o tempo todo.;Negativo
A conexão está horrível, impossível navegar assim.;Negativo
A configuração da nova estação de trabalho foi acompanhada por um suporte técnico lento. A solução levou mais tempo do que o necessário e a falta de comunicação foi um problema durante o processo.;Negativo
A configuração da nova estação de trabalho foi demorada.;Negativo
A configuração do novo firewall foi inadequada e está deixando a rede vulnerável.;Negativo
A configuração do novo roteador não foi feita corretamente e a rede está instável.;Negativo
A configuração do novo servidor foi feita de forma inadequada e está causando vários problemas.;Negativo
A configuração do novo switch de rede foi mal feita e está causando problemas de conectividade.;Negativo
A criação da conta de usuário foi muito lenta e houve problemas com a configuração dos acessos. Além disso, a equipe de suporte não foi proativa em comunicar o progresso da solicitação.;Negativo
A criação de novas contas de usuário foi mal gerida, com uma demora significativa no processamento e uma comunicação que deixou os usuários frustrados.;Negativo
A criação de uma nova conta de usuário demorou bastante. A configuração dos acessos apresentou problemas e a equipe de suporte não foi proativa em informar sobre o andamento da solicitação.;Negativo
A criação de uma nova máquina virtual foi demorada e o processo não foi bem explicado. Eu tive que realizar várias ligações para entender o status e a solução final foi entregue de forma incompleta.;Negativo
A criação de uma nova máquina virtual foi mal conduzida. O processo foi lento e o suporte técnico não foi capaz de apresentar uma solução adequada para a questão.;Negativo
A entrega foi rápida, mas o produto tem um desempenho abaixo das expectativas. A bateria não dura tanto quanto foi prometido e o processador parece ser um pouco mais lento do que o anunciado.;Negativo
A equipe de suporte foi bastante lenta na solução de um problema crítico com a rede, o que causou muitos transtornos e atrasos para a equipe. A comunicação também foi ineficaz, gerando mais frustração.;Negativo
A equipe de suporte foi bem devagar na resolução do problema com a rede. A comunicação foi ruim e eu fiquei sem conexão por um bom tempo.;Negativo
A equipe de suporte foi muito lenta para resolver um problema com o sistema de comunicação. O atraso causou muitos transtornos e a solução fornecida não resolveu completamente a questão.;Negativo
A equipe de suporte foi pouco colaborativa e não atendeu minhas expectativas.;Negativo
A equipe de TI demorou bastante para resolver o problema com a rede local. O atraso trouxe vários transtornos e a comunicação com o suporte foi pouco eficiente.;Negativo
A equipe de TI demorou demais para resolver o problema com a impressão. A comunicação também foi fraca.;Negativo
A equipe de TI demorou muito para ajudar com a instalação do novo software. A solução foi insatisfatória.;Negativo
A equipe de TI demorou muito para resolver o problema com a impressão. A comunicação também foi bem ruim.;Negativo
A equipe de TI demorou muito para responder à minha solicitação.;Negativo
A equipe de TI demorou muito para trocar o meu acesso. A comunicação foi ruim e eu fiquei esperando demais.;Negativo
A equipe de TI demorou para resolver um problema com o sistema de email corporativo. O atraso causou muitos transtornos e a comunicação foi ineficaz.;Negativo
A equipe de TI falhou em gerenciar uma falha crítica no sistema de contabilidade. O suporte foi lento e a resolução não foi eficaz, resultando em várias complicações.;Negativo
A equipe de TI falhou em resolver o problema com o sistema de gerenciamento de projetos. O suporte foi demorado e a solução fornecida não resolveu a questão por completo, resultando em diversos transtornos.;Negativo
A equipe de TI falhou em resolver o problema crítico do software de contabilidade. O suporte demorou a responder e a solução fornecida não foi suficiente para resolver a questão completamente.;Negativo
A equipe de TI falhou em resolver o problema de rede, a resposta foi lenta e a solução não completa.;Negativo
A equipe de TI falhou em resolver um problema com a aplicação de software. O suporte foi lento e a solução final não foi eficaz.;Negativo
A equipe de TI falhou em resolver um problema com a sincronização de dados. O suporte demorou e a solução oferecida não resolveu a questão completamente.;Negativo
A equipe de TI falhou em resolver um problema com o sistema de backup. A resposta foi lenta e a solução final não resolveu completamente a questão.;Negativo
A equipe de TI falhou em resolver um problema com o sistema de e-mail corporativo. A resposta foi lenta e a solução final não resolveu completamente o problema.;Negativo
A equipe de TI falhou em resolver um problema crítico com a aplicação de contabilidade. O suporte foi lento e a solução oferecida não foi eficaz.;Negativo
A equipe de TI falhou em resolver um problema crítico com o sistema de contabilidade. O suporte foi lento e a solução final não foi eficaz.;Negativo
A equipe de TI falhou em resolver um problema de falha de segurança. A resposta foi lenta e a solução final não resolveu completamente as vulnerabilidades.;Negativo
A equipe de TI foi bem devagar para ajudar com o problema da rede. A comunicação não foi boa.;Negativo
A equipe de TI foi bem ruim. A instalação do novo software demorou muito e a solução final foi insatisfatória.;Negativo
A equipe de TI foi horrível. A solução para o problema de backup foi um desastre e a comunicação foi péssima.;Negativo
A equipe de TI foi indiferente às minhas preocupações.;Negativo
A equipe de TI foi lenta na resposta a uma solicitação de acesso de usuário, e quando finalmente atenderam, a solução foi apenas parcial, deixando vários usuários sem acesso aos recursos necessários.;Negativo
A equipe de TI foi lenta na resposta a uma solicitação de ajuste no sistema de segurança. O atraso causou preocupações adicionais sobre a proteção dos dados e a comunicação com a equipe de suporte foi deficiente.;Negativo
A equipe de TI foi lenta para responder a uma solicitação crítica de suporte técnico. Além disso, a solução fornecida não resolveu completamente o problema, causando mais interrupções.;Negativo
A equipe de TI foi lenta para responder a uma solicitação de ajuste no sistema de rede. A resolução levou mais tempo do que o previsto e a comunicação com a equipe de suporte foi deficiente.;Negativo
A equipe de TI foi lenta para solucionar a questão com a rede local, o que causou vários transtornos. Além disso, a comunicação com o suporte foi ineficaz.;Negativo
A equipe de TI foi muito lenta para resolver um problema com a rede local. O atraso causou muitos transtornos e a comunicação com o suporte foi ineficaz.;Negativo
A equipe de TI foi muito lenta para resolver uma questão com o software de comunicação. O problema persistiu por vários dias antes de ser resolvido, afetando negativamente a comunicação interna.;Negativo
A equipe de TI foi pouco colaborativa.;Negativo
A equipe de TI foi um desastre. A solução para o problema com o e-mail foi lenta e não resolveu tudo.;Negativo
A equipe de TI levou um tempo considerável para resolver o problema da rede local, o que causou muitos transtornos. A comunicação com o suporte foi deficiente.;Negativo
A equipe de TI não conseguiu instalar o software corretamente.;Negativo
A equipe de TI não conseguiu resolver a questão da rede, a resposta foi demorada e a solução não resolveu completamente.;Negativo
A equipe de TI não conseguiu resolver meu problema.;Negativo
A equipe de TI não conseguiu resolver o problema com o sistema de backup. O problema persistiu por vários dias e causou a perda de dados importantes, o que afetou negativamente a operação da empresa.;Negativo
A equipe de TI não conseguiu resolver o problema de configuração de rede, e a solução foi lenta e incompleta.;Negativo
A equipe de TI não conseguiu resolver o problema de lentidão na rede local de forma satisfatória. Apesar de várias tentativas, o problema persistiu e não houve uma solução definitiva.;Negativo
A equipe de TI não conseguiu resolver o problema de rede, e a solução oferecida foi lenta e inadequada.;Negativo
A equipe de TI não conseguiu resolver um problema com a configuração de acesso a arquivos compartilhados. O suporte foi lento e a solução final não resolveu completamente a questão.;Negativo
A equipe de TI não conseguiu resolver um problema com o sistema de e-mail corporativo a tempo. O atraso causou transtornos significativos e a comunicação foi ruim.;Negativo
A equipe de TI não conseguiu resolver um problema com o sistema de gerenciamento de projetos. O suporte foi lento e a solução oferecida não resolveu completamente a questão, causando vários transtornos.;Negativo
A equipe de TI não conseguiu resolver um problema com o software de gerenciamento de projetos. A resposta foi lenta e a solução oferecida não resolveu a questão completamente.;Negativo
A equipe de TI não conseguiu resolver um problema crítico com o sistema de comunicação. A resposta foi lenta e a solução final não resolveu o problema completamente.;Negativo
A equipe de TI não conseguiu resolver um problema crítico com o software de contabilidade. O suporte demorou a responder e a solução oferecida não resolveu completamente a questão.;Negativo
A equipe de TI não conseguiu resolver um problema crítico com o software de contabilidade. O suporte demorou para responder e a solução fornecida não solucionou a questão por completo.;Negativo
A equipe de TI não conseguiu resolver um problema de hardware, o que levou a uma série de atrasos e interrupções. A falta de comunicação também contribuiu para a insatisfação geral com o suporte.;Negativo
A equipe de TI não conseguiu solucionar o problema com o sistema de gerenciamento de projetos. A resposta do suporte foi lenta e a solução fornecida não resolveu a questão de forma eficaz, causando muitos transtornos.;Negativo
A equipe de TI não conseguiu solucionar o problema crítico com o software de contabilidade. O suporte demorou para oferecer uma resposta e a solução fornecida não foi suficiente para resolver o problema totalmente.;Negativo
A equipe de TI não foi capaz de recuperar meus arquivos.;Negativo
A equipe de TI não foi capaz de resolver um problema com a configuração de rede. A resposta foi lenta e a solução oferecida não resolveu completamente o problema.;Negativo
A equipe de TI não foi capaz de resolver um problema de compatibilidade de software a tempo. A falta de uma solução eficaz causou atrasos significativos no projeto.;Negativo
A equipe de TI não foi eficiente na solução do problema de rede, a resposta foi lenta e a solução, parcial.;Negativo
A equipe de TI não me manteve informado sobre o status da solicitação.;Negativo
A equipe de TI não resolveu o problema de rede, a resposta foi lenta e a solução parcial.;Negativo
A equipe de TI não resolveu o problema de rede, demoraram a responder e a solução foi insuficiente.;Negativo
A equipe de TI não seguiu o prazo estipulado.;Negativo
A equipe de TI teve dificuldades em resolver o problema do sistema de gerenciamento de projetos. O suporte foi demorado e a solução apresentada não resolveu completamente o problema, gerando vários transtornos.;Negativo
A equipe de TI teve um desempenho lento na resolução do problema da rede local, resultando em muitos transtornos. A comunicação com o suporte foi insatisfatória.;Negativo
A equipe demonstrou total desorganização durante a atualização. Demoraram demais e causaram enormes transtornos por falta de comunicação.;Negativo
A equipe demorou para encontrar uma solução para o problema de contabilidade e a resposta foi insatisfatória.;Negativo
A equipe demorou para instalar o novo software e a comunicação foi bem ruim.;Negativo
A equipe demorou para resolver o problema com a configuração da rede. A comunicação foi bem ruim e eu fiquei sem conexão por um bom tempo.;Negativo
A equipe demorou para resolver o problema com a configuração de rede. O atendimento não foi muito bom.;Negativo
A equipe demorou para resolver o problema com a configuração do computador. A comunicação foi bem ruim.;Negativo
A equipe demorou para resolver o problema com o acesso. A comunicação e o tempo de resposta foram bem ruins.;Negativo
A equipe demorou para resolver um problema crítico com a infraestrutura de rede. A falta de comunicação e a demora causaram vários transtornos para os usuários.;Negativo
A equipe demorou para resolver um problema crítico com o sistema de backup. O atraso causou vários problemas e a comunicação com o suporte foi ineficaz.;Negativo
A equipe demorou para responder a um problema crítico com o sistema de CRM. A solução oferecida foi inadequada e não resolveu o problema completamente.;Negativo
A equipe demorou para responder a uma solicitação de configuração de servidor. O atraso causou interrupções no fluxo de trabalho e gerou frustração entre os usuários.;Negativo
A equipe demorou pra ajudar com a instalação de um novo software e não deram notícias sobre o progresso.;Negativo
A equipe demorou uma eternidade para consertar o meu e-mail. Fiquei super frustrado.;Negativo
A equipe falhou miseravelmente em todos os aspectos. A atualização de software demorou demais e a comunicação foi completamente negligenciada.;Negativo
A equipe foi bem lenta na resolução do problema de autenticação e a comunicação foi fraca.;Negativo
A equipe foi desorganizada ao lidar com uma solicitação de suporte para troca de computador. O novo equipamento apresentou falhas e a solução foi lenta e insatisfatória.;Negativo
A equipe mostrou uma total falta de preparo para gerenciar a atualização de software. A demora foi absurda e a comunicação, inexistente.;Negativo
A estrutura do site é funcional, mas a experiência do usuário poderia ser aprimorada com um design mais amigável e informações mais completas sobre os produtos.;Negativo
A experiência foi horrível. A atualização demorou séculos e a equipe não soube se comunicar, gerando muita confusão.;Negativo
A forma como a solicitação para atualizar o hardware foi tratada foi insatisfatória. O novo equipamento teve falhas e o suporte não foi eficiente na resolução dos problemas.;Negativo
A forma como a solicitação para novas contas de usuário foi gerida foi insatisfatória. A equipe demorou a processar o pedido e a falta de comunicação foi frustrante.;Negativo
A forma como a solicitação para novos softwares foi tratada foi muito ruim. A equipe demorou a concluir a instalação e a falta de atualizações causou atrasos significativos.;Negativo
A forma como a solicitação para novos softwares foi tratada foi muito ruim. A equipe foi lenta na conclusão e não atualizou o progresso, o que gerou atrasos.;Negativo
A forma como o problema com o sistema de CRM foi tratado foi muito decepcionante. O suporte não só demorou para encontrar uma solução, como a comunicação foi muito ruim.;Negativo
A forma como o problema crítico de contabilidade foi abordado foi muito insatisfatória. A equipe levou um tempo excessivo para encontrar uma solução, e a comunicação foi inadequada.;Negativo
A gestão da atualização de hardware foi péssima. O novo equipamento apresentou falhas e o suporte demorou a fornecer uma solução adequada.;Negativo
A gestão da criação de novas contas de usuário foi inadequada. A equipe levou muito tempo para processar a solicitação e a falta de comunicação causou frustração.;Negativo
A gestão da instalação dos novos softwares deixou a desejar. A equipe não só demorou para concluir o processo como a falta de comunicação sobre o progresso causou atrasos.;Negativo
A gestão da solicitação de atualização de hardware foi inadequada, com o novo equipamento apresentando falhas e suporte lento na solução.;Negativo
A gestão da solicitação de novas contas foi deficiente. A equipe levou um tempo excessivo para processar e a comunicação inadequada causou frustração entre os usuários.;Negativo
A gestão da solicitação para a criação de uma nova máquina virtual deixou a desejar. O processo foi demorado e o suporte técnico falhou em fornecer uma solução eficaz para o problema.;Negativo
A gestão da solicitação para a instalação de novos softwares foi inadequada. A equipe demorou a concluir o processo e a falta de comunicação causou atrasos no trabalho.;Negativo
A gestão da solicitação para a troca de equipamentos foi inadequada, com atrasos prolongados e problemas técnicos no novo computador. O suporte demorou para dar resposta e solucionar os problemas.;Negativo
A gestão da solicitação para a troca de equipamentos foi insatisfatória, com atrasos significativos e problemas técnicos com o novo computador. O suporte levou tempo para responder e resolver os problemas.;Negativo
A gestão da solicitação para instalação de novos softwares foi inadequada. A equipe demorou a concluir e não comunicou o progresso, resultando em atrasos no trabalho.;Negativo
A gestão da solicitação para novos softwares foi deficiente. A equipe não só demorou para concluir o processo como a falta de comunicação gerou atrasos no trabalho.;Negativo
A gestão da solicitação para troca de acesso foi inadequada. O processo foi demorado e houve confusão quanto às permissões a serem concedidas, resultando em vários problemas de acesso para os usuários.;Negativo
A gestão da troca de computador deixou a desejar. O novo equipamento chegou com vários problemas e o suporte foi lento para responder e solucionar os defeitos, causando um longo período sem um computador em funcionamento.;Negativo
A gestão da troca de computador foi insatisfatória. O novo equipamento chegou com vários defeitos e o suporte demorou a responder e resolver os problemas, resultando em um extenso período sem um computador funcional.;Negativo
A gestão do incidente relacionado a um software crítico foi insatisfatória. A resposta foi lenta e a solução não resolveu o problema completamente.;Negativo
A gestão do processo de atualização foi péssima. A equipe não só foi lenta, como também totalmente incapaz de manter qualquer comunicação.;Negativo
A impressora está com um defeito sério e não imprime corretamente.;Negativo
A impressora nova chegou com defeito e o suporte demorou para trocar.;Negativo
A impressora nova está falhando frequentemente e o suporte técnico não foi útil.;Negativo
A incompetência da equipe foi gritante. Demoraram absurdamente para concluir a atualização e não houve nenhuma comunicação.;Negativo
A instalação de novos softwares foi mal gerida, com a equipe demorando para concluir o processo e não comunicando o progresso, o que resultou em atrasos no trabalho.;Negativo
A instalação de novos softwares foi mal gerida. A equipe demorou para concluir o processo e não comunicou o progresso, resultando em atrasos no trabalho.;Negativo
A instalação de um novo software de gerenciamento de projetos foi problemática. O suporte técnico teve dificuldades para resolver problemas de instalação e o processo levou mais tempo do que o necessário.;Negativo
A instalação do novo software de gestão de projetos foi muito problemática. A equipe de suporte teve dificuldades para resolver os problemas de instalação e isso resultou em atrasos significativos.;Negativo
A instalação do novo software de segurança foi problemática e causou vários erros no sistema.;Negativo
A instalação do novo software foi problemática e causou vários problemas no sistema.;Negativo
"A instalação do novo software foi um desastre; o sistema ficou muito lento.";Negativo
A instalação do software foi feita incorretamente.;Negativo
A interface do software é confusa e há muitos problemas recorrentes.;Negativo
A internet cai toda hora.;Negativo
A internet está com muitos problemas de conexão e quedas.;Negativo
A internet está com muitos problemas de conexão.;Negativo
A internet está com problemas frequentes e precisa ser corrigida.;Negativo
A internet está completamente instável, caindo o tempo todo.;Negativo
A internet está terrível, com falhas constantes e muitas quedas.;Negativo
A internet está um desastre, sempre caindo e cheia de falhas.;Negativo
A internet não para de cair, está cheia de problemas.;Negativo
A internet tem estado bastante instável ultimamente.;Negativo
A internet tem estado bastante instável, principalmente à noite.;Negativo
A internet tem ficado instável em horários de pico.;Negativo
A internet tem sido bem lenta em vários momentos do dia.;Negativo
A internet vive caindo, está cheia de problemas.;Negativo
A maneira como a atualização de hardware foi gerida foi extremamente insatisfatória. O novo equipamento teve problemas e o suporte demorou para oferecer uma solução adequada.;Negativo
A maneira como a instalação de novos softwares foi gerida deixou a desejar. A equipe demorou a concluir e não forneceu atualizações, o que causou atrasos.;Negativo
A maneira como o problema crítico no sistema de CRM foi abordado foi insatisfatória. O suporte levou muito tempo para encontrar uma solução e a comunicação foi deficiente.;Negativo
A navegação no software é complicada e os erros são constantes.;Negativo
A nova conta de usuário levou um tempo considerável para ser criada. A configuração dos acessos teve problemas e a equipe de suporte não foi proativa em fornecer atualizações sobre o andamento da solicitação.;Negativo
A nova impressora tem problemas constantes de atolamento de papel.;Negativo
A nova impressora tem problemas constantes e o suporte técnico não foi útil.;Negativo
A nova máquina virtual foi solicitada, mas a gestão do processo foi deficiente. O suporte técnico foi lento e não conseguiu oferecer uma solução apropriada para o problema.;Negativo
A prestação de atendimento foi insatisfatória e o produto falhou em desempenhar suas funções corretamente, causando insatisfação;Negativo
A qualidade da internet caiu muito esta semana.;Negativo
A qualidade do atendimento foi baixa e o produto não funcionou como prometido, resultando em decepção.;Negativo
A qualidade do atendimento foi insatisfatória e o produto não funcionou como esperado, levando a uma experiência ruim.;Negativo
A qualidade do áudio no novo headset é muito ruim e não atende às expectativas.;Negativo
A resolução do problema com a configuração da nova estação de trabalho foi bastante lenta. O suporte técnico levou mais tempo do que o esperado e a comunicação foi inadequada ao longo do processo.;Negativo
A resolução do problema com a rede local pela equipe de TI foi bastante demorada. Esse atraso gerou diversos problemas e a interação com o suporte não foi eficaz.;Negativo
A resolução do problema com o sistema de gerenciamento de projetos pela equipe de TI não foi eficaz. O suporte foi lento e a solução oferecida não resolveu totalmente a questão, causando vários transtornos.;Negativo
A resolução do problema crítico com o software de contabilidade pela equipe de TI não foi eficaz. O suporte demorou para responder e a solução apresentada não resolveu a questão de forma completa.;Negativo
A resolução do problema de autenticação foi lenta e insatisfatória, com comunicação deficiente.;Negativo
A resolução do problema de lentidão na rede foi ineficaz. A equipe de suporte fez várias tentativas, mas o problema persistiu e causou muitos transtornos para todos os usuários afetados.;Negativo
A resolução do problema foi muito demorada.;Negativo
A resolução do problema foi parcial e temporária.;Negativo
A resolução do problema foi temporária e voltou a ocorrer.;Negativo
A resposta à solicitação de atualização de hardware foi insatisfatória, com falhas no novo equipamento e suporte demorado para a resolução.;Negativo
A resposta a um problema com a autenticação foi insatisfatória. O suporte demorou para encontrar uma solução e a comunicação foi pobre.;Negativo
A resposta a um problema com a autenticação foi muito lenta. O suporte demorou para resolver o problema e a falta de comunicação causou frustração entre os usuários.;Negativo
A resposta a um problema com a configuração de servidores foi insatisfatória. O suporte demorou para resolver a questão e a solução oferecida não resolveu completamente o problema.;Negativo
A resposta a um problema crítico com a aplicação de contabilidade foi insatisfatória. A equipe demorou para encontrar uma solução e a comunicação foi ruim.;Negativo
A resposta a um problema crítico com o sistema de e-mail foi insatisfatória. A equipe demorou para encontrar uma solução e a comunicação foi ruim.;Negativo
A resposta a uma solicitação de acesso a dados foi insatisfatória. A equipe levou muito tempo para conceder o acesso e a falta de comunicação foi um problema adicional.;Negativo
A resposta ao problema com o sistema de CRM foi altamente insatisfatória. O suporte não apenas demorou para encontrar uma solução, como a comunicação foi inadequada ao longo do processo.;Negativo
A resposta ao problema com o sistema de CRM foi insatisfatória. A equipe demorou a encontrar uma solução e a comunicação durante o processo foi extremamente ruim.;Negativo
A resposta ao problema crítico na contabilidade foi decepcionante. A equipe levou muito tempo para encontrar uma solução, e a comunicação foi insatisfatória.;Negativo
A resposta ao problema de autenticação foi decepcionante, demoraram e a comunicação foi insuficiente.;Negativo
A resposta ao problema de autenticação foi insatisfatória, com demora e falta de clareza na comunicação.;Negativo
A resposta ao problema de autenticação não foi satisfatória, demoraram a resolver e a comunicação foi ruim.;Negativo
A resposta ao problema de contabilidade foi frustrante e a comunicação deixou a desejar.;Negativo
A resposta ao problema de queda de internet foi extremamente lenta. A equipe demorou horas para identificar e corrigir o problema, causando transtornos significativos.;Negativo
A resposta do suporte para problemas com a internet foi um pouco lenta.;Negativo
A resposta para um problema com a conectividade foi insatisfatória. A equipe demorou para encontrar uma solução e a comunicação foi pobre.;Negativo
A resposta para um problema com o acesso remoto foi muito lenta. A equipe demorou dias para resolver a questão, afetando a continuidade das operações.;Negativo
A resposta para um problema com o sistema de CRM foi insatisfatória. O suporte demorou para encontrar uma solução e a comunicação foi ruim.;Negativo
A resposta para um problema com o software de contabilidade foi insatisfatória. A equipe demorou para encontrar uma solução e o problema persiste.;Negativo
